SYMB,DATE,HORA,VWAP
ACN,2020-10-14,12:10:00,230.6413
ACN,2020-10-14,12:15:00,230.6415
ACN,2020-10-14,12:20:00,230.6326
ACN,2020-10-14,12:25:00,230.622
ACN,2020-10-14,12:30:00,230.6164
ACN,2020-10-14,12:35:00,230.6166
ACN,2020-10-14,12:40:00,230.6148
ACN,2020-10-14,12:45:00,230.6164
ACN,2020-10-14,12:50:00,230.6199
ACN,2020-10-14,12:55:00,230.6244
ACN,2020-10-14,13:00:00,230.6292
ACN,2020-10-14,13:05:00,230.6326
ACN,2020-10-14,13:10:00,230.6365
ACN,2020-10-14,13:15:00,230.6376
ACN,2020-10-14,13:20:00,230.6387
ACN,2020-10-14,13:25:00,230.6387
ACN,2020-10-14,13:30:00,230.6371
ACN,2020-10-14,13:35:00,230.6314
ACN,2020-10-14,13:40:00,230.6247
ACN,2020-10-14,13:45:00,230.6219
ACN,2020-10-14,13:50:00,230.6217
ACN,2020-10-14,13:55:00,230.6212
ACN,2020-10-14,14:00:00,230.6212
ACN,2020-10-14,14:05:00,230.6214
ACN,2020-10-14,14:10:00,230.623
ACN,2020-10-14,14:15:00,230.6257
ACN,2020-10-14,14:20:00,230.6268
ACN,2020-10-14,14:25:00,230.6264
ACN,2020-10-14,14:30:00,230.6243
ACN,2020-10-14,14:35:00,230.6186
ACN,2020-10-14,14:40:00,230.6111
ACN,2020-10-14,14:45:00,230.6009
ACN,2020-10-14,14:50:00,230.5932
ACN,2020-10-14,14:55:00,230.5863
ACN,2020-10-14,15:00:00,230.5807
ACN,2020-10-14,15:05:00,230.5739
ACN,2020-10-14,15:10:00,230.5735
ACN,2020-10-14,15:15:00,230.5747
ACN,2020-10-14,15:20:00,230.5747
ACN,2020-10-14,15:25:00,230.5753
ACN,2020-10-14,15:30:00,230.5721
ACN,2020-10-14,15:35:00,230.5722
ACN,2020-10-14,15:40:00,230.5707
ACN,2020-10-14,15:45:00,230.5669
ACN,2020-10-14,15:50:00,230.558
ACN,2020-10-14,15:55:00,230.5435
ACN,2020-10-14,16:00:00,230.4705
ACN,2020-10-14,16:05:00,230.384
ACN,2020-10-15,09:35:00,226.0931
ACN,2020-10-15,09:40:00,226.1698
ACN,2020-10-15,09:45:00,226.2507
ACN,2020-10-15,09:50:00,226.3776
ACN,2020-10-15,09:55:00,226.5381
ACN,2020-10-15,10:00:00,226.7433
ACN,2020-10-15,10:05:00,226.8724
ACN,2020-10-15,10:10:00,226.8888
ACN,2020-10-15,10:15:00,226.8828
ACN,2020-10-15,10:20:00,226.8753
ACN,2020-10-15,10:25:00,226.8758
ACN,2020-10-15,10:30:00,226.8696
ACN,2020-10-15,10:35:00,226.8297
ACN,2020-10-15,10:40:00,226.7874
ACN,2020-10-15,10:45:00,226.7625
ACN,2020-10-15,10:50:00,226.7399
ACN,2020-10-15,10:55:00,226.7336
ACN,2020-10-15,11:00:00,226.7257
ACN,2020-10-15,11:05:00,226.7147
ACN,2020-10-15,11:10:00,226.7195
ACN,2020-10-15,11:15:00,226.7582
ACN,2020-10-15,11:20:00,226.7786
ACN,2020-10-15,11:25:00,226.7908
ACN,2020-10-15,11:30:00,226.8086
ACN,2020-10-15,11:35:00,226.8153
ACN,2020-10-15,11:40:00,226.8244
ACN,2020-10-15,11:45:00,226.8379
ACN,2020-10-15,11:50:00,226.8496
ACN,2020-10-15,11:55:00,226.8658
ACN,2020-10-15,12:00:00,226.8733
ACN,2020-10-15,12:05:00,226.8779
ACN,2020-10-15,12:10:00,226.8788
ACN,2020-10-15,12:15:00,226.879
ACN,2020-10-15,12:20:00,226.8803
ACN,2020-10-15,12:25:00,226.8837
ACN,2020-10-15,12:30:00,226.892
ACN,2020-10-15,12:35:00,226.9031
ACN,2020-10-15,12:40:00,226.9108
ACN,2020-10-15,12:45:00,226.9272
ACN,2020-10-15,12:50:00,226.9345
ACN,2020-10-15,12:55:00,226.9507
ACN,2020-10-15,13:00:00,226.9751
ACN,2020-10-15,13:05:00,226.9902
ACN,2020-10-15,13:10:00,227.0066
ACN,2020-10-15,13:15:00,227.0365
ACN,2020-10-15,13:20:00,227.0652
ACN,2020-10-15,13:25:00,227.0858
ACN,2020-10-15,13:30:00,227.1109
ACN,2020-10-15,13:35:00,227.1298
ACN,2020-10-15,13:40:00,227.1549
ACN,2020-10-15,13:45:00,227.1916
ACN,2020-10-15,13:50:00,227.2075
ACN,2020-10-15,13:55:00,227.222
