SYMB,DATE,HORA,VWAP
MMM,2020-10-14,13:45:00,168.6904
MMM,2020-10-14,13:50:00,168.6912
MMM,2020-10-14,13:55:00,168.6927
MMM,2020-10-14,14:00:00,168.6946
MMM,2020-10-14,14:05:00,168.6961
MMM,2020-10-14,14:10:00,168.6988
MMM,2020-10-14,14:15:00,168.7012
MMM,2020-10-14,14:20:00,168.7118
MMM,2020-10-14,14:25:00,168.7138
MMM,2020-10-14,14:30:00,168.7151
MMM,2020-10-14,14:35:00,168.7152
MMM,2020-10-14,14:40:00,168.7143
MMM,2020-10-14,14:45:00,168.7141
MMM,2020-10-14,14:50:00,168.7158
MMM,2020-10-14,14:55:00,168.7176
MMM,2020-10-14,15:00:00,168.7209
MMM,2020-10-14,15:05:00,168.7229
MMM,2020-10-14,15:10:00,168.7279
MMM,2020-10-14,15:15:00,168.7338
MMM,2020-10-14,15:20:00,168.7405
MMM,2020-10-14,15:25:00,168.7456
MMM,2020-10-14,15:30:00,168.7486
MMM,2020-10-14,15:35:00,168.7531
MMM,2020-10-14,15:40:00,168.7535
MMM,2020-10-14,15:45:00,168.7545
MMM,2020-10-14,15:50:00,168.7545
MMM,2020-10-14,15:55:00,168.7566
MMM,2020-10-14,16:00:00,168.7364
MMM,2020-10-14,16:05:00,168.7311
MMM,2020-10-15,05:35:00,166.84
MMM,2020-10-15,06:25:00,166.3618
MMM,2020-10-15,06:50:00,166.2417
MMM,2020-10-15,07:20:00,166.4147
MMM,2020-10-15,07:45:00,166.3569
MMM,2020-10-15,08:05:00,166.3277
MMM,2020-10-15,08:15:00,166.3273
MMM,2020-10-15,08:20:00,166.3923
MMM,2020-10-15,08:40:00,166.3657
MMM,2020-10-15,08:50:00,166.3671
MMM,2020-10-15,09:10:00,166.3504
MMM,2020-10-15,09:15:00,166.3985
MMM,2020-10-15,09:25:00,166.3979
MMM,2020-10-15,09:30:00,166.3792
MMM,2020-10-15,09:35:00,166.3629
MMM,2020-10-15,09:40:00,166.2964
MMM,2020-10-15,09:45:00,166.282
MMM,2020-10-15,09:50:00,166.3231
MMM,2020-10-15,09:55:00,166.4191
