,MMM,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_mavg,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_mavg,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2020-09-09 20:00:00+00:00,165.70000000000002,0.021161583587062195,-0.0015418500000005109,,0.0,0.0,,0.0,83275.81499999999,16570.0,16570.0,0.0,0.1659558790721474,16570.0,160.7683666666667,16570.0,1,-0.006325652471346979,0.16912639596499202,0.1659558790721474,[],2020-09-09 20:00:00+00:00,2020-09,2020-09-09 13:31:00+00:00,253.0,99845.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 165.70000000000002}]",0.002540343899306352,-0.2958471044945983,0.0,165.192,0.0,0,-0.4360132432741376,83275.81499999999,16317.000000000002,16317.000000000002,60,[],0.0
2020-09-10 20:00:00+00:00,163.15,0.021604934776907402,-0.004091850000000563,,0.0,0.0,,0.0,83275.81499999999,16315.0,16315.0,0.0,0.16382032820998604,16315.0,161.04533333333336,16315.0,1,-0.00634560721100432,0.16912639596499202,0.16382032820998604,[],2020-09-10 20:00:00+00:00,2020-09,2020-09-10 13:31:00+00:00,-255.0,99590.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 163.15}]",-0.002553937788979943,-0.773372127439494,0.0,165.11700000000002,0.0,0,-1.1023620559913667,83275.81499999999,16570.0,16570.0,61,[],0.0
2020-09-11 20:00:00+00:00,166.17000000000002,0.022319246060824357,-0.0010718500000006514,,0.0,0.0,,0.0,83275.81499999999,16617.0,16617.0,0.0,0.16634830042581142,16617.0,161.55939999999998,16617.0,1,-0.00634560721100432,0.16912639596499202,0.16634830042581142,[],2020-09-11 20:00:00+00:00,2020-09,2020-09-11 13:31:00+00:00,302.0,99892.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 166.17000000000002}]",0.003032408159326705,-0.18432020784466877,0.0,165.32600000000002,0.0,0,-0.2736315556488452,83275.81499999999,16315.0,16315.0,62,[],0.0
2020-09-14 20:00:00+00:00,168.46,0.022614950522044704,0.0012181499999992518,,0.0,0.0,,0.0,83275.81499999999,16846.0,16846.0,0.0,0.16825504012287434,16846.0,162.2043,16846.0,1,-0.00634560721100432,0.16912639596499202,0.16825504012287434,[],2020-09-14 20:00:00+00:00,2020-09,2020-09-14 13:31:00+00:00,229.0,100121.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 168.46}]",0.0022924571702178653,0.22645375295835124,0.0,165.60600000000002,0.0,0,0.34337075414382173,83275.81499999999,16617.0,16617.0,63,[],0.0
2020-09-15 20:00:00+00:00,166.57,0.022751980712947307,-0.0006718500000006955,,0.0,0.0,,0.0,83275.81499999999,16657.0,16657.0,0.0,0.16668198529181832,16657.0,162.7882,16657.0,1,-0.00634560721100432,0.16912639596499202,0.16668198529181832,[],2020-09-15 20:00:00+00:00,2020-09,2020-09-15 13:31:00+00:00,-189.0,99932.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 166.57}]",-0.0018877004976387557,-0.10511610846035604,0.0,165.961,0.0,0,-0.15667864212263644,83275.81499999999,16846.0,16846.0,64,[],0.0
2020-09-16 20:00:00+00:00,169.51,0.023309585847582068,0.002268149999999247,,0.0,0.0,,0.0,83275.81499999999,16951.0,16951.0,0.0,0.16912639596499202,16951.0,163.44366666666664,16951.0,1,-0.00634560721100432,0.16912639596499202,0.16912639596499202,[],2020-09-16 20:00:00+00:00,2020-09,2020-09-16 13:31:00+00:00,294.0,100226.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 169.51}]",0.0029419765669564946,0.3882956596563385,0.0,166.432,0.0,0,0.597564925646347,83275.81499999999,16657.0,16657.0,65,[],0.0
2020-09-17 20:00:00+00:00,172.38,0.023780351283552173,0.005138149999999175,,0.0,0.0,,0.0,83275.81499999999,17238.0,17238.0,0.0,0.17149881337207232,17238.0,164.05803333333333,17238.0,1,-0.00634560721100432,0.17149881337207232,0.17149881337207232,[],2020-09-17 20:00:00+00:00,2020-09,2020-09-17 13:31:00+00:00,287.0,100513.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 172.38}]",0.0028635051408147927,0.8346074248768384,0.0,166.719,0.0,0,1.3203947968260317,83275.81499999999,16951.0,16951.0,66,[],0.0
2020-09-18 20:00:00+00:00,169.55,0.02425786676153939,0.002308149999999287,,0.0,0.0,,0.0,83275.81499999999,16955.0,16955.0,0.0,0.16915955437457036,16955.0,164.55659999999997,16955.0,1,-0.00634560721100432,0.17149881337207232,0.16915955437457036,[],2020-09-18 20:00:00+00:00,2020-09,2020-09-18 13:31:00+00:00,-283.0,100230.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 169.55}]",-0.0028155333672290617,0.36941676761119646,0.0,167.043,0.0,0,0.5640771595676604,83275.81499999999,17238.0,17238.0,67,[],0.0
2020-09-21 20:00:00+00:00,161.36,0.028796740639844307,-0.005881850000000632,,0.0,0.0,,0.0,83275.81499999999,16136.000000000002,16136.000000000002,0.0,0.16231471078161086,16136.000000000002,164.70519999999996,16136.000000000002,1,-0.010963667034227987,0.17149881337207232,0.16231471078161086,[],2020-09-21 20:00:00+00:00,2020-09,2020-09-21 13:31:00+00:00,-819.0,99411.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 161.36}]",-0.008171139783708203,-0.744938586744149,0.0,166.602,0.0,0,-0.9631126398985075,83275.81499999999,16955.0,16955.0,68,[],0.0
2020-09-22 20:00:00+00:00,162.34,0.028657389760842922,-0.0049018500000005405,,0.0,0.0,,0.0,83275.81499999999,16234.0,16234.0,0.0,0.16313968627114825,16234.0,164.78373333333334,16234.0,1,-0.010963667034227987,0.17149881337207232,0.16313968627114825,[],2020-09-22 20:00:00+00:00,2020-09,2020-09-22 13:31:00+00:00,98.0,99509.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 162.34}]",0.000985798317835851,-0.6120794957916766,0.0,166.51899999999998,0.0,0,-0.7932824157894777,83275.81499999999,16136.000000000002,16136.000000000002,69,[],0.0
